Date,Season,Round,Home,Away,gd,line,odds_home,odds_away,ev_home,ev_away,pl_home,pl_away,mkt_home_novig,best_side,best_ev,best_pl
2026-03-06,2026,1,Chengdu Rongcheng,Shenzhen Xinpengcheng,4.0,-1.5,1.85,1.93,0.21174389334095092,-0.33414362926920815,0.8500000000000001,-1.0,0.5105820105820106,home,0.21174389334095092,0.8500000000000001
2026-03-07,2026,1,Shanghai Shenhua,Dalian Yingbo,2.0,-1.75,1.82,1.97,-0.41692124596514263,0.350858092164172,0.41000000000000003,-0.5,0.5197889182058046,away,0.350858092164172,-0.5
2026-03-07,2026,1,Yunnan Yukun,Qingdao Hainiu,2.0,-0.25,1.86,1.94,0.09912871731557751,-0.19220603701779954,0.8600000000000001,-1.0,0.5105263157894737,home,0.09912871731557751,0.8600000000000001
2026-03-07,2026,1,Shanghai Port,Henan Songshan Longmen,-1.0,-0.75,1.84,1.95,0.09956960685816653,-0.2024844619325328,-1.0,0.95,0.5145118733509234,home,0.09956960685816653,-1.0
2026-03-08,2026,1,Zhejiang Professional,Qingdao West Coast,2.0,-0.75,1.99,1.82,-0.06070514103258245,-0.02642912819179932,0.99,-1.0,0.47769028871391084,away,-0.02642912819179932,-1.0
2026-03-08,2026,1,Wuhan Three Towns,Beijing Guoan,-2.0,1.0,1.89,1.91,0.23918304124988427,-0.3168927409235529,-1.0,0.9099999999999999,0.5026315789473684,home,0.23918304124988427,-1.0
2026-03-13,2026,2,Wuhan Three Towns,Dalian Yingbo,3.0,0.0,1.93,1.88,0.0554989847168201,-0.11338615676162342,0.9299999999999999,-1.0,0.4934383202099738,home,0.0554989847168201,0.9299999999999999
2026-03-14,2026,2,Shandong Taishan,Beijing Guoan,1.0,-0.5,1.93,1.88,-0.07081697627133567,-0.025110924668336226,0.9299999999999999,-1.0,0.4934383202099738,away,-0.025110924668336226,-1.0
2026-03-14,2026,2,Zhejiang Professional,Shanghai Shenhua,0.0,0.5,1.97,1.84,-0.046290951649512836,-0.05077393348471887,0.97,-1.0,0.48293963254593175,home,-0.046290951649512836,0.97
2026-03-14,2026,2,Chongqing Tonglianglong,Liaoning Tieren,1.0,-0.25,1.8,2.01,-0.5681282694436932,0.5687626896750896,0.8,-1.0,0.5275590551181102,away,0.5687626896750896,-1.0
2026-03-14,2026,2,Shenzhen Xinpengcheng,Tianjin Jinmen Tiger,1.0,-0.25,2.01,1.81,-0.33534360862249984,0.22743998416850195,1.0099999999999998,-1.0,0.47382198952879584,away,0.22743998416850195,-1.0
2026-03-15,2026,2,Chengdu Rongcheng,Qingdao Hainiu,1.0,-1.75,1.93,1.86,0.03845614757823142,-0.1281585914448246,-1.0,0.8600000000000001,0.4907651715039578,home,0.03845614757823142,-1.0
2026-03-15,2026,2,Henan Songshan Longmen,Yunnan Yukun,1.0,-1.0,1.99,1.82,0.10935616828466906,-0.17043041451579752,0.0,0.0,0.47769028871391084,home,0.10935616828466906,0.0
2026-03-15,2026,2,Shanghai Port,Qingdao West Coast,3.0,-1.25,1.8,2.01,0.027567953727922957,-0.12455548647215109,0.8,-1.0,0.5275590551181102,home,0.027567953727922957,0.8
2026-03-20,2026,3,Dalian Yingbo,Shanghai Port,1.0,0.5,2.01,1.81,0.17506443285703857,-0.24814259874191036,1.0099999999999998,-1.0,0.47382198952879584,home,0.17506443285703857,1.0099999999999998
2026-03-20,2026,3,Qingdao Hainiu,Zhejiang Professional,-3.0,0.5,1.85,1.95,0.31009193946679353,-0.4309077199785118,-1.0,0.95,0.513157894736842,home,0.31009193946679353,-1.0
2026-03-21,2026,3,Beijing Guoan,Shanghai Shenhua,0.0,0.25,1.91,1.89,0.18628481136995856,-0.26989357367276295,0.45499999999999996,-0.5,0.4973684210526315,home,0.18628481136995856,0.45499999999999996
2026-03-21,2026,3,Liaoning Tieren,Tianjin Jinmen Tiger,3.0,0.25,1.82,1.99,0.1555454762969161,-0.25980370455041996,0.8200000000000001,-1.0,0.5223097112860893,home,0.1555454762969161,0.8200000000000001
2026-03-21,2026,3,Henan Songshan Longmen,Wuhan Three Towns,0.0,-1.5,1.83,1.98,-0.1868748909080476,0.10022529180215006,-1.0,0.98,0.5196850393700787,away,0.10022529180215006,0.98
2026-03-21,2026,3,Chongqing Tonglianglong,Chengdu Rongcheng,0.0,0.5,1.93,1.88,0.5912888517748135,-0.6700637519879017,0.9299999999999999,-1.0,0.4934383202099738,home,0.5912888517748135,0.9299999999999999
2026-03-21,2026,3,Qingdao West Coast,Shenzhen Xinpengcheng,1.0,-0.25,1.82,1.99,0.20387840396102297,-0.31162776449310603,0.8200000000000001,-1.0,0.5223097112860893,home,0.20387840396102297,0.8200000000000001
2026-03-21,2026,3,Yunnan Yukun,Shandong Taishan,4.0,0.75,1.83,1.99,0.15207968918149237,-0.25141759183294377,0.8300000000000001,-1.0,0.5209424083769634,home,0.15207968918149237,0.8300000000000001
2026-04-03,2026,4,Chengdu Rongcheng,Qingdao West Coast,4.0,-2.0,1.79,2.0,-0.1853965093747758,0.11851716047825406,0.79,-1.0,0.5277044854881265,away,0.11851716047825406,-1.0
2026-04-04,2026,4,Shanghai Port,Yunnan Yukun,1.0,-1.0,2.02,1.79,0.3087789087477048,-0.3477816503706155,0.0,0.0,0.46981627296587924,home,0.3087789087477048,0.0
2026-04-04,2026,4,Shandong Taishan,Dalian Yingbo,-1.0,-1.0,1.88,1.92,-0.05136296771012402,-0.020268123536599063,-1.0,0.9199999999999999,0.5052631578947367,away,-0.020268123536599063,0.9199999999999999
2026-04-04,2026,4,Liaoning Tieren,Beijing Guoan,1.0,-0.25,2.08,1.75,-0.20104497972275268,0.08939010030734423,1.08,-1.0,0.4569190600522194,away,0.08939010030734423,-1.0
2026-04-04,2026,4,Qingdao Hainiu,Henan Songshan Longmen,1.0,0.75,1.86,1.94,0.16748669620872514,-0.26542797899071435,0.8600000000000001,-1.0,0.5105263157894737,home,0.16748669620872514,0.8600000000000001
2026-04-05,2026,4,Zhejiang Professional,Chongqing Tonglianglong,-1.0,-1.25,1.88,1.93,-0.7049541637434245,0.6371835642486053,-1.0,0.9299999999999999,0.5065616797900262,away,0.6371835642486053,0.9299999999999999
2026-04-05,2026,4,Shenzhen Xinpengcheng,Wuhan Three Towns,3.0,-0.5,1.89,1.91,-0.39446020563291845,0.2980523771210974,0.8899999999999999,-1.0,0.5026315789473684,away,0.2980523771210974,-1.0
2026-04-05,2026,4,Tianjin Jinmen Tiger,Shanghai Shenhua,-1.0,0.5,1.93,1.88,-0.0034530189196320107,-0.09072970177776789,-1.0,0.8799999999999999,0.4934383202099738,home,-0.0034530189196320107,-1.0
2026-04-10,2026,5,Dalian Yingbo,Zhejiang Professional,3.0,0.25,1.96,1.84,0.31914504039415825,-0.38213131932695155,0.96,-1.0,0.4842105263157894,home,0.31914504039415825,0.96
2026-04-11,2026,5,Chongqing Tonglianglong,Wuhan Three Towns,1.0,-0.5,1.81,2.0,0.10927618495190322,-0.22571954138331846,0.81,-1.0,0.5249343832020998,home,0.10927618495190322,0.81
2026-04-11,2026,5,Qingdao West Coast,Liaoning Tieren,0.0,-0.25,2.05,1.78,-0.10459282264997792,0.014316455002560798,-0.5,0.39,0.4647519582245431,away,0.014316455002560798,0.39
2026-04-11,2026,5,Shanghai Shenhua,Shanghai Port,1.0,-0.5,1.89,1.91,0.1596898611853284,-0.26196171156824205,0.8899999999999999,-1.0,0.5026315789473684,home,0.1596898611853284,0.8899999999999999
2026-04-11,2026,5,Henan Songshan Longmen,Shandong Taishan,-1.0,0.0,2.07,1.76,0.3163647246701026,-0.3364086722748781,-1.0,0.76,0.4595300261096606,home,0.3163647246701026,-1.0
2026-04-12,2026,5,Tianjin Jinmen Tiger,Qingdao Hainiu,0.0,-0.25,1.77,2.04,0.05073592518545355,-0.1540823840649709,-0.5,0.52,0.5354330708661418,home,0.05073592518545355,-0.5
2026-04-12,2026,5,Beijing Guoan,Chengdu Rongcheng,-1.0,0.25,1.74,2.05,-0.05932030881923436,-0.03859289167697707,-1.0,1.0499999999999998,0.5408970976253298,away,-0.03859289167697707,1.0499999999999998
2026-04-12,2026,5,Shenzhen Xinpengcheng,Yunnan Yukun,-1.0,0.0,2.03,1.79,-0.05938703787675342,-0.0076458430639320205,-1.0,0.79,0.46858638743455505,away,-0.0076458430639320205,0.79
2026-04-17,2026,6,Zhejiang Professional,Beijing Guoan,0.0,0.25,1.82,1.99,0.010572548237951361,-0.10054259561384046,0.41000000000000003,-0.5,0.5223097112860893,home,0.010572548237951361,0.41000000000000003
2026-04-17,2026,6,Yunnan Yukun,Tianjin Jinmen Tiger,-3.0,0.25,1.8,2.01,0.27187233435260894,-0.3930940558509638,-1.0,1.0099999999999998,0.5275590551181102,home,0.27187233435260894,-1.0
2026-04-17,2026,6,Wuhan Three Towns,Chengdu Rongcheng,-1.0,1.5,1.95,1.85,0.24172267374096892,-0.3280445879080988,0.95,-1.0,0.48684210526315796,home,0.24172267374096892,0.95
2026-04-17,2026,6,Chongqing Tonglianglong,Shenzhen Xinpengcheng,2.0,-0.25,1.82,1.99,0.3095202926540477,-0.4257193573466501,0.8200000000000001,-1.0,0.5223097112860893,home,0.3095202926540477,0.8200000000000001
2026-04-17,2026,6,Qingdao Hainiu,Qingdao West Coast,0.0,-0.25,1.92,1.88,0.024303487307792464,-0.10696339943798495,-0.5,0.43999999999999995,0.49473684210526314,home,0.024303487307792464,-0.5
2026-04-17,2026,6,Shandong Taishan,Shanghai Port,0.0,-0.25,1.93,1.88,0.08848230959863182,-0.16881005576535213,-0.5,0.43999999999999995,0.4934383202099738,home,0.08848230959863182,-0.5
2026-04-18,2026,6,Dalian Yingbo,Henan Songshan Longmen,1.0,0.0,1.84,1.96,-0.03350659811649712,-0.03323234582646075,0.8400000000000001,-1.0,0.5157894736842105,away,-0.03323234582646075,-1.0
2026-04-18,2026,6,Shanghai Shenhua,Liaoning Tieren,2.0,-1.25,1.8,2.01,0.18385780115870595,-0.30123795525790453,0.8,-1.0,0.5275590551181102,home,0.18385780115870595,0.8
2026-04-21,2026,7,Tianjin Jinmen Tiger,Shandong Taishan,-1.0,0.5,1.87,1.93,0.1586766794856997,-0.2658534713408558,-1.0,0.9299999999999999,0.5078947368421052,home,0.1586766794856997,-1.0
2026-04-21,2026,7,Shenzhen Xinpengcheng,Beijing Guoan,-1.0,0.75,1.85,1.95,-0.026121854321722874,-0.06201763096189469,-0.5,0.475,0.513157894736842,home,-0.026121854321722874,-0.5
2026-04-21,2026,7,Chengdu Rongcheng,Yunnan Yukun,1.0,-1.5,1.84,1.97,0.13825535813400486,-0.24867557365434204,-1.0,0.97,0.5170603674540682,home,0.13825535813400486,-1.0
2026-04-21,2026,7,Wuhan Three Towns,Zhejiang Professional,2.0,0.75,2.02,1.79,0.4607432396008886,-0.49471000378727503,1.02,-1.0,0.46981627296587924,home,0.4607432396008886,1.02
2026-04-21,2026,7,Shanghai Port,Chongqing Tonglianglong,-1.0,-1.25,1.81,2.01,-0.69076493962298,0.6791085630809669,-1.0,1.0099999999999998,0.5261780104712042,away,0.6791085630809669,1.0099999999999998
2026-04-22,2026,7,Shanghai Shenhua,Qingdao Hainiu,2.0,-1.75,1.98,1.81,0.01772904296565684,-0.1080849796569871,0.49,-0.5,0.47757255936675463,home,0.01772904296565684,0.49
2026-04-22,2026,7,Qingdao West Coast,Henan Songshan Longmen,0.0,0.25,1.79,2.03,-0.03591760117521797,-0.04614660535148061,0.395,-0.5,0.5314136125654451,home,-0.03591760117521797,0.395
2026-04-22,2026,7,Liaoning Tieren,Dalian Yingbo,-1.0,-0.25,1.79,2.02,0.044949016557725645,-0.14462658245799073,-1.0,1.02,0.5301837270341206,home,0.044949016557725645,-1.0
2026-04-25,2026,8,Chengdu Rongcheng,Zhejiang Professional,4.0,-0.75,1.93,1.88,0.4548710134603168,-0.5263844224323594,0.9299999999999999,-1.0,0.4934383202099738,home,0.4548710134603168,0.9299999999999999
2026-04-25,2026,8,Beijing Guoan,Tianjin Jinmen Tiger,-2.0,-1.25,1.96,1.85,-0.16129856616254645,0.0719920913765794,-1.0,0.8500000000000001,0.4855643044619423,away,0.0719920913765794,0.8500000000000001
2026-04-25,2026,8,Shanghai Port,Wuhan Three Towns,4.0,-1.25,1.96,1.85,0.23602164522198907,-0.306249739797249,0.96,-1.0,0.4855643044619423,home,0.23602164522198907,0.96
2026-04-26,2026,8,Qingdao Hainiu,Shandong Taishan,3.0,0.5,1.99,1.82,0.07736604474031707,-0.16532974946099338,0.99,-1.0,0.47769028871391084,home,0.07736604474031707,0.99
2026-04-26,2026,8,Chongqing Tonglianglong,Qingdao West Coast,0.0,-0.5,1.79,2.02,-0.1664681712002142,0.07936631610303513,-1.0,1.02,0.5301837270341206,away,0.07936631610303513,1.02
2026-04-26,2026,8,Shenzhen Xinpengcheng,Liaoning Tieren,1.0,0.0,1.85,1.96,-0.050780519691807344,-0.01608093491956391,0.8500000000000001,-1.0,0.5144356955380577,away,-0.01608093491956391,-1.0
2026-04-26,2026,8,Dalian Yingbo,Yunnan Yukun,-2.0,-0.5,2.02,1.79,0.030443418358226348,-0.12311570240654712,-1.0,0.79,0.46981627296587924,home,0.030443418358226348,-1.0
2026-04-26,2026,8,Henan Songshan Longmen,Shanghai Shenhua,-3.0,0.25,1.92,1.88,0.19153574848539406,-0.2724400080943605,-1.0,0.8799999999999999,0.49473684210526314,home,0.19153574848539406,-1.0
2026-05-01,2026,9,Shanghai Shenhua,Chengdu Rongcheng,-1.0,-0.25,2.03,1.79,0.014321985435120707,-0.09087538709270312,-1.0,0.79,0.46858638743455505,home,0.014321985435120707,-1.0
2026-05-01,2026,9,Shandong Taishan,Qingdao West Coast,0.0,-1.25,1.98,1.83,-0.08777813656746089,-2.894616082417954e-06,-1.0,0.8300000000000001,0.48031496062992135,away,-2.894616082417954e-06,0.8300000000000001
2026-05-01,2026,9,Tianjin Jinmen Tiger,Wuhan Three Towns,0.0,-0.5,2.0,1.81,0.04014477878294666,-0.13133102479856668,-1.0,0.81,0.4750656167979003,home,0.04014477878294666,-1.0
2026-05-01,2026,9,Dalian Yingbo,Chongqing Tonglianglong,1.0,-0.25,1.8,2.01,-0.31934244729866673,0.2774906637397377,0.8,-1.0,0.5275590551181102,away,0.2774906637397377,-1.0
